,Name,Address,lat,lng
0,ALEXANDRA HOSPITAL,378 Alexandra Road Singapore 159964,1.2876783,103.8014763
1,CHANGI GENERAL HOSPITAL,2 Simei Street 3 Singapore 529889,1.3406241,103.9494707
2,KHOO TECK PUAT HOSPITAL,90 Yishun Central Singapore 768828,1.4242972,103.8385907
3,KK WOMEN'S AND CHILDREN'S HOSPITAL,100 Bukit Timah Road Singapore 229899,1.3106633,103.8468054
4,NATIONAL CANCER CENTRE,11 Hospital Drive Singapore 169610,1.2794262,103.8366349
5,NATIONAL HEART CENTRE SINGAPORE,5 Hospital Drive Singapore 169609,1.2784935,103.8361514
6,NATIONAL NEUROSCIENCE INSTITUTE,11 Jalan Tan Tock Seng Singapore 308433,1.3210806,103.8456848
7,NATIONAL SKIN CENTRE,1 Mandalay Rd Singapore 308205,1.320081,103.8494898
8,NATIONAL UNIVERSITY HOSPITAL,5 Lower Kent Ridge Rd Singapore 119074,1.2946909,103.7832309
9,NG TENG FONG GENERAL HOSPITAL,1 Jurong East Street 21 Singapore 609606,1.3337719,103.7454999
10,SINGAPORE GENERAL HOSPITAL,Outram Road Singapore 169608,1.2833414,103.8359684
11,SINGAPORE NATIONAL EYE CENTRE,11 Third Hospital Avenue Singapore 168751,1.280899,103.8354919
12,TAN TOCK SENG HOSPITAL,11 Jalan Tan Tock Seng Singapore 308433,1.3210806,103.8456848
