,Alpha-numeric code(s) In operation,Station name English ,Opening,Name(s) during planning stages,Abbreviation,Location(s),Line,Announcement date,Address,lat,lng
0,NS1 EW24,Jurong East,1990-03-10 00:00:00,Jurong East,JUR,Jurong East,North South Line (NSL),1982-05-01,Singapore Jurong East MRT,1.3331441,103.7423401
1,NS2,Bukit Batok,1990-03-10 00:00:00,Bukit Batok South,BBT,Bukit Batok,North South Line (NSL),1982-05-02,Singapore Bukit Batok MRT,1.349061,103.7495977
2,NS3,Bukit Gombak,1990-03-10 00:00:00,Bukit Batok North,BGB,Bukit Batok,North South Line (NSL),1982-05-03,Singapore Bukit Gombak MRT,1.3587805,103.7519975
3,,Brickland,Mid-2030s,Brickland,TBA,Exact location not yet known,North South Line (NSL),1982-05-04,Singapore Brickland MRT,1.352083,103.819836
4,NS4 BP1,Choa Chu Kang,1990-03-10 00:00:00,Choa Chu Kang,CCK,Choa Chu Kang,North South Line (NSL),1982-05-05,Singapore Choa Chu Kang MRT,1.3839803,103.7469611
5,NS5,Yew Tee,1996-02-10 00:00:00,Choa Chu Kang North,YWT,Choa Chu Kang,North South Line (NSL),1982-05-06,Singapore Yew Tee MRT,1.3975657,103.7474517
6,,Sungei Kadut,Mid-2030s,"Kadut, Sungei Kadut",TBA,Sungei Kadut,North South Line (NSL),1982-05-07,Singapore Sungei Kadut MRT,1.352083,103.819836
7,NS7,Kranji,1996-02-10 00:00:00,Kranji,KRJ,Sungei Kadut,North South Line (NSL),1982-05-08,Singapore Kranji MRT,1.4252268,103.7620278
8,NS8,Marsiling,1996-02-10 00:00:00,Woodlands West,MSL,Woodlands,North South Line (NSL),1982-05-09,Singapore Marsiling MRT,1.43251,103.77407
9,NS9 TE2,Woodlands,1996-02-10 00:00:00,Woodlands Central,WDL,Woodlands,North South Line (NSL),1982-05-10,Singapore Woodlands MRT,1.4381922,103.7889597
10,NS10,Admiralty,1996-02-10 00:00:00,Woodlands East,ADM,Woodlands,North South Line (NSL),1982-05-11,Singapore Admiralty MRT,1.44059,103.80099
11,NS11,Sembawang,1996-02-10 00:00:00,Sembawang,SBW,Sembawang,North South Line (NSL),1982-05-01,Singapore Sembawang MRT,1.44909,103.820049
12,NS12 ,Canberra,2019-11-02 00:00:00,Canberra,CBR,Sembawang,North South Line (NSL),1982-05-02,Singapore Canberra MRT,1.443283,103.829575
13,NS13,Yishun,1988-12-20 00:00:00,Nee Soon North,YIS,Yishun,North South Line (NSL),1982-05-03,Singapore Yishun MRT,1.4294431,103.835005
14,NS14,Khatib,1988-12-20 00:00:00,Nee Soon South,KTB,Yishun,North South Line (NSL),1982-05-04,Singapore Khatib MRT,1.4173483,103.8329731
15,NS15,Yio Chu Kang,1987-11-07 00:00:00,Yio Chu Kang,YCK,Ang Mo Kio,North South Line (NSL),1982-05-05,Singapore Yio Chu Kang MRT,1.3816929,103.8450516
16,NS16,Ang Mo Kio,1987-11-07 00:00:00,Ang Mo Kio,AMK,Ang Mo Kio,North South Line (NSL),1982-05-06,Singapore Ang Mo Kio MRT,1.36993,103.84956
17,NS17 CC15,Bishan,1987-11-07 00:00:00,"Kampong San Teng, San Teng",BSH,Bishan,North South Line (NSL),1982-05-07,Singapore Bishan MRT,1.3508449,103.8481737
18,NS18,Braddell,1987-11-07 00:00:00,Braddell,BDL,Toa Payoh,North South Line (NSL),1982-05-08,Singapore Braddell MRT,1.3406792,103.8472157
19,NS19,Toa Payoh,1987-11-07 00:00:00,Toa Payoh,TAP,Toa Payoh,North South Line (NSL),1982-05-09,Singapore Toa Payoh MRT,1.3323297,103.8474252
20,NS20,Novena,1987-12-12 00:00:00,Thomson,NOV,Novena,North South Line (NSL),1982-05-10,Singapore Novena MRT,1.32044,103.84383
21,NS21–DT11,Newton,1987-12-12 00:00:00,Newton Circus,NEW,Newton,North South Line (NSL),1982-05-11,Singapore Newton MRT,1.31377,103.83806
22,NS22,Orchard,1987-12-12 00:00:00,"Scotts, Orchard Boulevard",ORC,"Orchard Planning Area, River Valley Planning Area",North South Line (NSL),1982-05-12,Singapore Orchard MRT,1.3040084,103.831781
23,NS23,Somerset,1987-12-12 00:00:00,Killiney,SOM,Orchard Planning Area,North South Line (NSL),1982-05-13,Singapore Somerset MRT,1.3005159,103.8385
24,NS24 NE6 CC1,Dhoby Ghaut,1987-12-12 00:00:00,Dhoby Ghaut,DBG,Museum Planning Area,North South Line (NSL),1982-05-10,Singapore Dhoby Ghaut MRT,1.2989432,103.8455015
25,NS25 EW13,City Hall,1987-12-12 00:00:00,Saint Andrew's,CTH,Downtown Core,North South Line (NSL),1982-05-11,Singapore City Hall MRT,1.2931159,103.8520125
26,NS26 EW14,Raffles Place,1987-12-12 00:00:00,Central,RFP,Downtown Core,North South Line (NSL),1982-05-12,Singapore Raffles Place MRT,1.2830173,103.8513365
27,NS27 CE2,Marina Bay,1989-11-04 00:00:00,"Telok Ayer Basin, Marina South",MRB,"Downtown Core, Straits View Planning Area",North South Line (NSL),1982-05-13,Singapore Marina Bay MRT,1.2760574,103.8548902
