,Name,Address,lat,lng
0,Admiralty Primary School,Singapore Admiralty Primary School,1.4430452,103.8003087
1,Ahmad Ibrahim Primary School,Singapore Ahmad Ibrahim Primary School,1.4337349,103.8327825
2,Ai Tong School,Singapore Ai Tong School,1.3603066,103.8327064
3,Alexandra Primary School,Singapore Alexandra Primary School,1.2912575,103.8237639
4,Anchor Green Primary School,Singapore Anchor Green Primary School,1.3908643,103.8871175
5,Anderson Primary School,Singapore Anderson Primary School,1.3840294,103.841368
6,Anglo-Chinese School (Junior),Singapore Anglo-Chinese School (Junior),1.3090345,103.8416385
7,Anglo-Chinese School (Primary),Singapore Anglo-Chinese School (Primary),1.3187553,103.8358329
8,Angsana Primary School,Singapore Angsana Primary School,1.3629158,103.9389145
9,Ang Mo Kio Primary School,Singapore Ang Mo Kio Primary School,1.3693482,103.8398126
10,Beacon Primary School,Singapore Beacon Primary School,1.3839141,103.7736916
11,Bedok Green Primary School,Singapore Bedok Green Primary School,1.3242773,103.9375185
12,Blangah Rise Primary School,Singapore Blangah Rise Primary School,1.2763839,103.8093302
13,Boon Lay Garden Primary School,Singapore Boon Lay Garden Primary School,1.3434436,103.712979
14,Bukit Panjang Primary School,Singapore Bukit Panjang Primary School,1.3735964,103.7695266
15,Bukit Timah Primary School,Singapore Bukit Timah Primary School,1.3373854,103.7667618
16,Bukit View Primary School,Singapore Bukit View Primary School,1.3461955,103.7537972
17,Canberra Primary School,Singapore Canberra Primary School,1.4505141,103.8156974
18,Canossa Catholic Primary School,Singapore Canossa Catholic Primary School,1.3262861,103.8817743
19,Cantonment Primary School,Singapore Cantonment Primary School,1.2754926,103.8399129
20,Catholic High School (Primary),Singapore Catholic High School (Primary),1.3546049,103.8451234
21,Changkat Primary School,Singapore Changkat Primary School,1.3405718,103.9519323
22,CHIJ (Katong) Primary,Singapore CHIJ (Katong) Primary,1.3064102,103.9109552
23,CHIJ (Kellock),Singapore CHIJ (Kellock),1.2750626,103.8283114
24,CHIJ Our Lady of Good Counsel,Singapore CHIJ Our Lady of Good Counsel,1.3574239,103.8637879
25,CHIJ Our Lady of the Nativity,Singapore CHIJ Our Lady of the Nativity,1.3735318,103.897543
26,CHIJ Our Lady Queen of Peace,Singapore CHIJ Our Lady Queen of Peace,1.3667455,103.7674463
27,CHIJ Primary (Toa Payoh),Singapore CHIJ Primary (Toa Payoh),1.3333971,103.8425739
28,CHIJ St. Nicholas Girls' School,Singapore CHIJ St. Nicholas Girls' School,1.3740005,103.8341542
29,Chongfu School,Singapore Chongfu School,1.4387232,103.8393414
30,Chongzheng Primary School,Singapore Chongzheng Primary School,1.3508639,103.9512472
31,Chua Chu Kang Primary School,Singapore Chua Chu Kang Primary School,1.3778193,103.7423121
32,Clementi Primary School,Singapore Clementi Primary School,1.3153018,103.7632831
33,Compassvale Primary School,Singapore Compassvale Primary School,1.3949689,103.8981185
34,Concord Primary School,Singapore Concord Primary School,1.380347,103.7363383
35,Corporation Primary School,Singapore Corporation Primary School,1.3514322,103.7076403
36,Damai Primary School,Singapore Damai Primary School,1.3356727,103.9211476
37,Dazhong Primary School,Singapore Dazhong Primary School,1.35922,103.7479191
38,De La Salle School,Singapore De La Salle School,1.3950704,103.7433723
39,East Spring Primary School,Singapore East Spring Primary School,1.3529446,103.9618398
40,Edgefield Primary School,Singapore Edgefield Primary School,1.4004367,103.9076926
41,Elias Park Primary School,Singapore Elias Park Primary School,1.3749538,103.9452385
42,Endeavour Primary School,Singapore Endeavour Primary School,1.4545646,103.8171781
43,Eunos Primary School,Singapore Eunos Primary School,1.3245231,103.9043036
44,Evergreen Primary School,Singapore Evergreen Primary School,1.444082,103.795038
45,Fairfield Methodist School (Primary),Singapore Fairfield Methodist School (Primary),1.3005232,103.7848864
46,Farrer Park Primary School,Singapore Farrer Park Primary School,1.312316,103.850874
47,Fengshan Primary School,Singapore Fengshan Primary School,1.3296339,103.9319374
48,Fernvale Primary School,Singapore Fernvale Primary School,1.3900135,103.8741806
49,First Toa Payoh Primary School,Singapore First Toa Payoh Primary School,1.3402883,103.8555874
50,Frontier Primary School,Singapore Frontier Primary School,1.336807,103.6994043
51,Fuchun Primary School,Singapore Fuchun Primary School,1.4304356,103.7781651
52,Fuhua Primary School,Singapore Fuhua Primary School,1.3363949,103.7368184
53,Gan Eng Seng Primary School,Singapore Gan Eng Seng Primary School,1.2857731,103.8151962
54,Geylang Methodist School (Primary),Singapore Geylang Methodist School (Primary),1.3182162,103.8838381
55,Gongshang Primary School,Singapore Gongshang Primary School,1.3571755,103.9491666
56,Greendale Primary School,Singapore Greendale Primary School,1.3962652,103.9127224
57,Greenridge Primary School,Singapore Greenridge Primary School,1.3856591,103.7679301
58,Greenwood Primary School,Singapore Greenwood Primary School,1.43985,103.804609
59,Guangyang Primary School,Singapore Guangyang Primary School,1.345887,103.849315
60,Haig Girls' School,Singapore Haig Girls' School,1.3120003,103.9026307
61,Holy Innocents' Primary School,Singapore Holy Innocents' Primary School,1.3666609,103.8936553
62,Henry Park Primary School,Singapore Henry Park Primary School,1.3167825,103.7841363
63,Hong Wen School,Singapore Hong Wen School,1.3216992,103.8575256
64,Horizon Primary School,Singapore Horizon Primary School,1.3998175,103.9131302
65,Hougang Primary School,Singapore Hougang Primary School,1.3781206,103.8812046
66,Huamin Primary School,Singapore Huamin Primary School,1.427311,103.8443612
67,Innova Primary School,Singapore Innova Primary School,1.4293039,103.790427
68,Jiemin Primary School,Singapore Jiemin Primary School,1.427671,103.830498
69,Junyuan Primary School,Singapore Junyuan Primary School,1.3479731,103.9399917
70,Jurong Primary School,Singapore Jurong Primary School,1.348679,103.732992
71,Jurong West Primary School,Singapore Jurong West Primary School,1.3390525,103.6988511
72,Juying Primary School,Singapore Juying Primary School,1.3392826,103.687185
73,Keming Primary School,Singapore Keming Primary School,1.3453287,103.7563823
74,Kheng Cheng School,Singapore Kheng Cheng School,1.3376497,103.8477955
75,Kong Hwa School,Singapore Kong Hwa School,1.311089,103.8881773
76,Kranji Primary School,Singapore Kranji Primary School,1.3936035,103.747804
77,Kuo Chuan Presbyterian Primary School,Singapore Kuo Chuan Presbyterian Primary School,1.3494052,103.8552635
78,Lakeside Primary School,Singapore Lakeside Primary School,1.3384657,103.7181475
79,Lianhua Primary School,Singapore Lianhua Primary School,1.3536176,103.7544359
80,Maha Bodhi School,Singapore Maha Bodhi School,1.3284131,103.9015463
81,Maris Stella High School,Singapore Maris Stella High School,1.3411414,103.8776654
82,Marsiling Primary School,Singapore Marsiling Primary School,1.4338104,103.7736593
83,Marymount Convent School,Singapore Marymount Convent School,1.3406106,103.8400154
84,Mayflower Primary School,Singapore Mayflower Primary School,1.3762361,103.8357776
85,Mee Toh School,Singapore Mee Toh School,1.3947729,103.9089333
86,Meridian Primary School,Singapore Meridian Primary School,1.376032,103.9350488
87,Methodist Girls' School (Primary),Singapore Methodist Girls' School (Primary),1.3329949,103.783453
88,Montfort Junior School,Singapore Montfort Junior School,1.3739459,103.8894782
89,Nan Chiau Primary School,Singapore Nan Chiau Primary School,1.3925508,103.8904013
90,Nan Hua Primary School,Singapore Nan Hua Primary School,1.3197989,103.7619428
91,Nanyang Primary School,Singapore Nanyang Primary School,1.3210838,103.807711
92,Ngee Ann Primary School,Singapore Ngee Ann Primary School,1.3056219,103.9180054
93,Naval Base Primary School,Singapore Naval Base Primary School,1.4160913,103.8389168
94,New Town Primary School,Singapore New Town Primary School,1.2999918,103.8000744
95,Northland Primary School,Singapore Northland Primary School,1.421155,103.840576
