,date,news title,news source(url),content summary,keywords,class_name,full Article 
0,2022-01-14 19:41:10+08:00,"Elderly man who moves around Yishun on wooden board to continue to get help from Chong Pang CC, Touch",https://www.straitstimes.com/singapore/community/elderly-man-who-moves-around-yishun-on-wooden-board-to-continue-to-get-help-from-chong-pang-cc-touch,"SINGAPORE - A video of an elderly man with mobility difficulties struggling to get into a taxi in Yishun has raised concerns among Facebook users and residents in the estate over the senior's safety.
As a taxi pulls up alongside him, the man, who is wearing a mask, uses his hands to shuffle slowly towards the vehicle, dragging himself along the ground.
At this point, two passers-by and the taxi driver slowly help him get safely into the vehicle.
Residents in the area say the man is a familiar sight.
Mr David Ang, 70, a shop assistant at Teck Hoe provision store in Yishun Ring Road, said: ""I have seen him riding the wooden board.","board, moves, elderly, ring, ground, taxi, slowly, yishun, wooden, help, pang, man, video, road, touch, continue, chong",Yishun,"SINGAPORE - A video of an elderly man with mobility difficulties struggling to get into a taxi in Yishun has raised concerns among Facebook users and residents in the estate over the senior's safety.

The widely-circulated, nearly two-minute video, which has attracted 80,000 views as at 6pm on Friday (Jan 14), shows the man sitting on the ground beside a traffic light crossing opposite Block 141 Yishun Ring Road, with his belongings next to him on a wooden board with wheels.

As a taxi pulls up alongside him, the man, who is wearing a mask, uses his hands to shuffle slowly towards the vehicle, dragging himself along the ground. With some difficulty, he reaches for the front passenger door and opens it.

At this point, two passers-by and the taxi driver slowly help him get safely into the vehicle.

Residents in the area say the man is a familiar sight.

Mr David Ang, 70, a shop assistant at Teck Hoe provision store in Yishun Ring Road, said: ""I have seen him riding the wooden board. He "
1,2022-01-14 11:15:00+08:00,Elderly man seen crawling into taxi at Yishun: Shanmugam explains,https://www.asiaone.com/singapore/elderly-man-seen-crawling-taxi-yishun-heres-what-happened,"On Thursday (Jan 13) afternoon, an elderly man was seen sitting on the roadside at Chong Pang, with a small wooden board with wheels beside him.
While many netizens praised the trio for helping the senior, some asked if the elderly man could receive a wheelchair from social services.
On Friday, Nee Soon MP K Shanmugam wrote on Facebook: ""I was sent a video relating to an elderly man in Chong Pang.
According to Shanmugam, the grassroots, Chong Pang Community Club and Touch Cluster Support have been assisting and providing community support to Lee and his family since 2015.
Volunteer organisations in Chong Pang have also been regularly helping his family to get their essentials.","wheelchair, shanmugam, elderly, explains, taxi, wheels, yishun, wooden, man, pang, crawling, lee, chong, seen, support, senior",Yishun,"For those with mobility issues, entering a car can be an arduous process.

On Thursday (Jan 13) afternoon, an elderly man was seen sitting on the roadside at Chong Pang, with a small wooden board with wheels beside him.

He later crawled on the ground as he attempted to get into a taxi.

Noticing his struggles, the cabby and two passers-by quickly went to his aid. One of them lifted him into the front passenger seat while others helped to place his belongings in the back seat.

The act of kindness was filmed and posted online on the same day.

While many netizens praised the trio for helping the senior, some asked if the elderly man could receive a wheelchair from social services.

On Friday, Nee Soon MP K Shanmugam wrote on Facebook: ""I was sent a video relating to an elderly man in Chong Pang. This gentleman is Mr Lee.""

According to Shanmugam, the grassroots, Chong Pang Community Club and Touch Cluster Support have been assisting and providing community support to Lee and his family"
2,2022-01-14 11:15:00+08:00,K Shanmugam: Elderly man who crawled on ground in Yishun has been receiving community support,https://mothership.sg/2022/01/shanmugam-elderly-man-chong-pang/,"The elderly man seen dragging himself on the ground in Chong Pang has been regularly receiving help from Chong Pang volunteer organisations, K Shanmugam, Member of Parliament (MP) for Nee Soon GRC, said.
Background contextA video of the elderly man had been circulating on Facebook earlier this week.
Subsequently, passers-by took notice of the man, with at least two men and the taxi driver helping the man into the taxi.
The home affairs minister added that Chong Pang Community Centre and Touch Cluster Support, a community service agency that helps elderly who are vulnerable, have been assisting and providing support to Lee and his family since 2015.
Chong Pang volunteer organisations have also helped his family with support regarding essentials.","wheelchair, shanmugam, ground, elderly, seen, community, yishun, k, wooden, man, pang, crawled, chong, lee, support, receiving",Yishun,"The elderly man seen dragging himself on the ground in Chong Pang has been regularly receiving help from Chong Pang volunteer organisations, K Shanmugam, Member of Parliament (MP) for Nee Soon GRC, said.

Background context

A video of the elderly man had been circulating on Facebook earlier this week.

He was seen with a wooden board with wheels attached beneath it, which he apparently uses to get around by using his hands to drag himself.

In the video that was posted on Jan. 13, the man can be seen sitting at a pedestrian crossing by himself, before attempting to drag himself into a taxi by using his hands.

Subsequently, passers-by took notice of the man, with at least two men and the taxi driver helping the man into the taxi.

Shanmugam responds

Shanmugam said in a Facebook post on Jan. 14 that the elderly man, whom he referred to as Mr Lee, prefers not to use a wheelchair, despite volunteers trying to persuade him to do so. A wheelchair had been purchased with the help of the se"
3,2022-01-14 11:15:00+08:00,Passers-by help elderly man crawling on ground in Yishun to get on taxi,https://mothership.sg/2022/01/elderly-man-cannot-walk-taxi/,"An elderly man in Chong Pang, Yishun was seen seated at the pedestrian crossing by the road by himself.
It subsequently transpired that he was waiting to board a taxi as he cannot walk.
Had wooden board with wheels with himThe elderly man had a wooden board beside him, which he apparently uses to get around.
Following the scene of the elderly man seated on the ground as seen from across the road, the video cut to the next scene of him trying to get onto a taxi.
Within seconds, at least two men stepped forward to hoist the elderly man off the ground and put his belongings into the backseat of the taxi.","board, ground, elderly, taxi, wheels, yishun, wooden, help, man, passersby, video, crawling, waiting, seen",Yishun,"An elderly man in Chong Pang, Yishun was seen seated at the pedestrian crossing by the road by himself.

It subsequently transpired that he was waiting to board a taxi as he cannot walk.

A video of the incident has been circulating online and put up on Facebook on Jan. 13.

Had wooden board with wheels with him

The elderly man had a wooden board beside him, which he apparently uses to get around.

The wooden board has wheels attached underneath it.

Following the scene of the elderly man seated on the ground as seen from across the road, the video cut to the next scene of him trying to get onto a taxi.

As he could only move along the ground by using his hands to drag himself, his actions caught the attention of passers-by.

Within seconds, at least two men stepped forward to hoist the elderly man off the ground and put his belongings into the backseat of the taxi.

The taxi driver also got off the vehicle to lend a hand.

He helped to adjust the elderly man's legs in the front seat."
4,2022-01-14 11:15:00+08:00,Man dies after ladder slips in Yishun workplace accident,https://www.channelnewsasia.com/singapore/man-dies-slip-ladder-workplace-accident-december-mom-2445881,"SINGAPORE: A 59-year-old worker died when a ladder he was on slipped during a workplace accident last month, said the Ministry of Manpower (MOM) on Wednesday (Jan 19).
The ladder slipped, causing the worker to fall and hit his head against the floor.
According to an alert from the Workplace Safety and Health Council (WSHC) on Jan 19, the man had fallen about 1.7m from the unsecured A-frame ladder.
""There are no workplace fatalities in 2022 to-date.”In its alert, WSHC cautioned against using an A-frame ladder as a leaning ladder.
""When using an A-frame ladder, ensure it is placed on stable and flat ground and that it is fully opened with spreaders locked,"" it said.","leaning, workplace, platform, aframe, wshc, slipped, worker, yishun, ladder, man, using, accident, dies, slips",Yishun,"SINGAPORE: A 59-year-old worker died when a ladder he was on slipped during a workplace accident last month, said the Ministry of Manpower (MOM) on Wednesday (Jan 19).

The accident, which occurred at 1024 Yishun Industrial Park A on Dec 24, happened when he was descending from the ladder which was leaning against the edge of a mezzanine level.

The ladder slipped, causing the worker to fall and hit his head against the floor. He was subsequently taken to Khoo Teck Puat Hospital, where he died three days later.

According to an alert from the Workplace Safety and Health Council (WSHC) on Jan 19, the man had fallen about 1.7m from the unsecured A-frame ladder.

The occupier of the premises and also the man's employer is bag and luggage wholesaler Sin Kwang Wah.

MOM said it is investigating the accident and has instructed the employer to stop all access to the mezzanine.



""With this accident, the total number of workplace fatalities in 2021 stands at 37,"" said MOM.

""There are no work"
5,2022-01-14 11:15:00+08:00,"15 persons, aged 38 to 86, investigated for illegal gambling activities in Yishun & Marsiling",https://mothership.sg/2022/01/illegal-gambling-yishun-marsiling/,"A total of 15 people in Singapore, aged between 38 and 86, are being investigated for their suspected involvement in illegal gambling activities.
Enforcement operations in Marsiling Crescent and YishunThe police said in a news release that between Jan. 8 and 19, officers from Woodlands Police Division conducted enforcement operations against illegal gambling activities along Marsiling Crescent, Yishun Street 72 and Yishun Avenue 5.
Three men, aged between 68 and 79, were allegedly found to have acted as bookmakers to 11 others, aged between 51 and 86.
In addition, a 38-year-old woman is being investigated for an offence under the Remote Gambling Act.
Any person who bets with a bookmaker can be fined up to S$5,000, jailed up to six months, or both.","jailed, persons, gambling, singapore, operations, yishun, investigated, activities, illegal, 86, marsiling, 38, aged, person",Yishun,"A total of 15 people in Singapore, aged between 38 and 86, are being investigated for their suspected involvement in illegal gambling activities.

Enforcement operations in Marsiling Crescent and Yishun

The police said in a news release that between Jan. 8 and 19, officers from Woodlands Police Division conducted enforcement operations against illegal gambling activities along Marsiling Crescent, Yishun Street 72 and Yishun Avenue 5.

Three men, aged between 68 and 79, were allegedly found to have acted as bookmakers to 11 others, aged between 51 and 86.

In addition, a 38-year-old woman is being investigated for an offence under the Remote Gambling Act.

Cash amounting to more than S$500, two mobile phones and gambling related paraphernalia were seized.

Under Singapore's Betting Act, any person who is found to be involved in bookmaking can be fined at least S$20,000 and jailed for up to five years.

Any person who bets with a bookmaker can be fined up to S$5,000, jailed up to six mo"
6,2022-01-17 14:18:52+08:00,Elderly man who moves around Yishun on wooden board prefers not to use wheelchair,https://stomp.straitstimes.com/singapore-seen/elderly-man-who-moves-around-yishun-on-wooden-board-prefers-not-to-use-wheelchair,"The Straits Times understands that Mr Lee is a 78-year-old man who lives in a three-room flat with his wife.
Mr Shanmugam said: ""Based on our interactions with him, our assessment is that he is independent, and knows his mind.""
Instead of the wheelchair, Mr Lee uses the wooden board with wheels to move around, which his neighbour built for him.
Touch Cluster Support, a service of Touch Community Services, helps seniors age in place in the neighbourhood.
Mr Shanmugam, who thanked members of the public for their feedback, said that the associations will continue to provide help and assistance to Mr Lee and his family.","board, wheelchair, moves, shanmugam, elderly, mr, community, yishun, wooden, man, touch, prefers, lee, support",Yishun,"Jessie Lim

The Straits Times

Jan 14, 2022

A video of an elderly man with mobility difficulties struggling to get into a taxi in Yishun has raised concerns among Facebook users and residents in the estate over the senior's safety.

The widely-circulated, nearly two-minute video, which has attracted 80,000 views as at 6pm on Friday (Jan 14), shows the man sitting on the ground beside a traffic light crossing opposite Block 141 Yishun Ring Road, with his belongings next to him on a wooden board with wheels.

As a taxi pulls up alongside him, the man, who is wearing a mask, uses his hands to shuffle slowly towards the vehicle, dragging himself along the ground. With some difficulty, he reaches for the front passenger door and opens it.

At this point, two passers-by and the taxi driver slowly help him get safely into the vehicle.

Residents in the area say the man is a familiar sight.

Mr David Ang, 70, a shop assistant at Teck Hoe provision store in Yishun Ring Road, said: ""I have seen"
7,2022-01-04 10:17:00+00:00,"Lorry Loses Control Near Yishun Dam & Crosses Road Divider, Driver Narrowly Avoids Accident",https://mustsharenews.com/lorry-divider-yishun/,"One driver’s alertness certainly paid off when they narrowly avoided getting hit by a lorry that lost control and crossed the road divider at Yishun Dam.
The incident occurred on Monday (20 Dec) and was shared by Facebook page Beh Chia Lor – Singapore Road.
Lorry loses control and crosses Yishun Dam road dividerOn Wednesday (22 Dec), Facebook page Beh Chia Lor – Singapore Road shared a video of an incident that occurred on Monday (20 Dec) at around 4.15pm.
SourceAll of a sudden, the lorry driver appeared to have lost control of the vehicle as it veered towards the road divider.
Featured image adapted from Beh Chia Lor – Singapore Road on Facebook.","dam, control, crosses, singapore, driver, narrowly, yishun, road, near, lorry, divider, lor, grey, loses, dec",Yishun,"Lorry Swerves Across Yishun Road Divider On 22 Dec & Narrowly Avoids Hitting Car

Drivers are often reminded to stay fully vigilant on roads and for good reason — you never know when and where dangers might appear.

One driver’s alertness certainly paid off when they narrowly avoided getting hit by a lorry that lost control and crossed the road divider at Yishun Dam.

The incident occurred on Monday (20 Dec) and was shared by Facebook page Beh Chia Lor – Singapore Road.

Lorry loses control and crosses Yishun Dam road divider

On Wednesday (22 Dec), Facebook page Beh Chia Lor – Singapore Road shared a video of an incident that occurred on Monday (20 Dec) at around 4.15pm.

The dashcam footage showed cars driving along Yishun Dam near Yishun Ave 1.

From a distance, a lorry was seen approaching at a high speed on the opposite side of the road.

Source

All of a sudden, the lorry driver appeared to have lost control of the vehicle as it veered towards the road divider.

With more than ha"
8,2022-01-04 10:17:00+00:00,"Electric vehicle chargers installed at 5 carparks in Jurong West, Punggol & Yishun",https://mothership.sg/2022/01/ev-chargers-public-carparks/,"Electric vehicle (EV) chargers have been installed at five HDB carparks in Jurong West, Punggol Central, and Yishun Avenue 9, according to a Facebook post by Transport Minister S Iswaran.
These EV charging points are part of the first batch under the Land Transport Authority (LTA) and Urban Redevelopment Authority (URA) pilot tender.
An EV charging point has also been installed at the URA centre.
He added that over 600 charging points will progressively be deployed at over 200 public carparks in Singapore by the third quarter of 2022.
20,000 of the EV chargers will be installed in private premises, a category which includes non-landed private residences (NLPRs) such as condominiums and private apartments.","chargers, transport, carparks, singapore, vehicle, installed, private, jurong, yishun, points, plan, punggol, ev, electric, public, post, charging, west",Yishun,"Electric vehicle (EV) chargers have been installed at five HDB carparks in Jurong West, Punggol Central, and Yishun Avenue 9, according to a Facebook post by Transport Minister S Iswaran.

These EV charging points are part of the first batch under the Land Transport Authority (LTA) and Urban Redevelopment Authority (URA) pilot tender.

An EV charging point has also been installed at the URA centre.

Available for public use in the coming weeks

These charging points will progressively become available for public use in the coming weeks, stated Iswaran in his Facebook post on Jan. 31.

He added that over 600 charging points will progressively be deployed at over 200 public carparks in Singapore by the third quarter of 2022.

You can view Iswaran's full post here:

60,000 charging points by 2030

As part of the Singapore Green Plan 2030, the government is pushing towards utilising renewable energy through vehicle electrification.

The plan is to set up 60,000 charging points across Singa"
9,2022-01-17 14:45:49+08:00,'Look! Such an inconsiderate act!' — Woman shakes rug over balcony in Yishun,https://theindependent.sg/look-such-an-inconsiderate-act-woman-shakes-rug-over-balcony-in-yishun/,"- Advertisement -Singapore — A woman was caught on camera shaking her rug over a balcony to clean it, sparking criticisms among netizens over the ‘selfish’ action.
Such an inconsiderate act!” wrote a concerned individual on Complaint Singapore Facebook page.
The video began with the woman leaning over her balcony ledge while holding a rug.
The woman proceeded to pick more debris that was still stuck on the rug and flicked them in the air.
/TISGRead related: HDB trash buildup by inconsiderate residents blocks chute, common problem for manyFollow us on Social MediaSend in your scoops to news@theindependent.sg","understand, chute, singapore, rug, vacuum, look, social, yishun, inconsiderate, woman, balcony, unit, shakes, trash, act",Yishun,"- Advertisement -

Singapore — A woman was caught on camera shaking her rug over a balcony to clean it, sparking criticisms among netizens over the ‘selfish’ action.

“Look! Such an inconsiderate act!” wrote a concerned individual on Complaint Singapore Facebook page.

The video began with the woman leaning over her balcony ledge while holding a rug. She shook the rug repeatedly.

She then overturned the mat and shook it against the building façade before hanging it over the ledge along with the others.

The woman proceeded to pick more debris that was still stuck on the rug and flicked them in the air.

According to the post, the incident happened at The Miltonia Residences Condominium located in Yishun.

Members from the online community advised the original poster to report the “selfish” incident to the National Environment Agency (NEA).

Others wondered why the woman didn’t have a vacuum to do the cleaning.

“Electricity is expensive vacuum also expensive. Old school method five fi"
