﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,DblMint,https://forums.hardwarezone.com.sg/members/dblmint.431725/,Member,"Dec 28, 2021","In reference to the above scenario. If I'm buying a resale now under single scheme without any grants at all and within next 2 years i get married, can i apply for bto with my wife even when MOP is not up? Assuming we get the bto, I'll sell my resale when the bto is completion which by then my single scheme resale will be over it' MOP"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,vinz,https://forums.hardwarezone.com.sg/members/vinz.18872/,Master Member,"Dec 28, 2021","Pls refer to page 19.
2nd last post which I posted.

Answer directly to your question.

Anyway if u still not clear, the answer Is No to your question posted."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,FroztSpectre,https://forums.hardwarezone.com.sg/members/froztspectre.287174/,Arch-Supremacy Member,"Dec 31, 2021","Hi, some questions that i need help with again.

I've obtained my HLE, and after cooling measures, HDB did send a email saying that
""the maximum HDB housing loan amount that you are eligible for and indicated in the HLE letter remains the same, and no action is required from you if there has been no change in your financial circumstances.""

That's fine with me. There's a change in my financial circumstance (increase in salary beginning Jan 2022), but i don't think that will decrease my HDB housing loan so it doesn't really matter to me.

So let's say over the next few days, i manage to find a resale flat to my liking, and received an OTP and wish to exercise it immediately.

1) When will the housing grants be determined? I just received a substantial increment that would reduce my EHG. The increment will begin at January 2022, so if they base it on my past 3 months of salary, i assume I'd still get that pre-salary-increment EHG?

2) What's the timeline like for grants to be disbursed to your CPF? After submission of resale application? So after submission of resale application, once HDB approves, money goes into my CPF. During the first appointment with HDB, then i'll have to pay the transaction prices?

3) What about timeline for HDB loan to be disbursed?

Question on price/budgeting/loan.
4) Let's say the house cost 750k, valuation is 700k, which means there's a COV of 50k.
Is the following way of calculation correct?
750k house
- 50k to be paid in cash for COV
= 700k left
- 5k EHG grants
- 50k family grants (first time resale buyer)
- 20k proximity grant
= 625k remaining
- 90k CPF
= 535k
As valuation is 700k, maximum LTV for bank loan is 75% which translate to roughly 525k.
Meaning i can only take a bank loan of 525k and then I'll have to fork out another 10k in cash to pay off the house?

So in total, with a 750k house, 700k valuation.
I'd have to pay 60k in cash,
90k in CPF,
75k worth of grants,
525k obtained through HDB loan.

Correct?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,vinz,https://forums.hardwarezone.com.sg/members/vinz.18872/,Master Member,"Dec 31, 2021","1. EHG take into account your past 12 months combined income (average) , and most likely they start from the month u submit your purchase into their system. EHG of 5k only? I suggest you don't over relied on this 5k.

2. Grant will be disbursed (into your cpf) and deducted before anything else. Grant can only be use to paying downpayment and not stamp+legal fees. Take note there is a stamp fee of around $17k for a $750k unit .Can be paid by CPF or cash.

3. will be disbursed on your appointment date with hdb.

4. Your calculation looks correct, just that u forget to add stamp fees and legal fees, and pls make sure your HLE can cover the so called 525k or more. It kind of feel to me you are stretching yourself to the max. Better be prudent in your 1st HDB. There are many much lower price HDB (of course may not be at the prime area or estate u looking at).

Good luck

-vinz"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,FroztSpectre,https://forums.hardwarezone.com.sg/members/froztspectre.287174/,Arch-Supremacy Member,"Dec 31, 2021","vinz said:
1. EHG take into account your past 12 months combined income (average) , and most likely they start from the month u submit your purchase into their system. EHG of 5k only? I suggest you don't over relied on this 5k.

2. Grant will be disbursed (into your cpf) and deducted before anything else. Grant can only be use to paying downpayment and not stamp+legal fees. Take note there is a stamp fee of around $17k for a $750k unit .Can be paid by CPF or cash.

3. will be disbursed on your appointment date with hdb.

4. Your calculation looks correct, just that u forget to add stamp fees and legal fees, and pls make sure your HLE can cover the so called 525k or more. It kind of feel to me you are stretching yourself to the max. Better be prudent in your 1st HDB. There are many much lower price HDB (of course may not be at the prime area or estate u looking at).

Good luck

-vinz
Click to expand...
Thanks!

EHG of 15k, but after increment it will be 5k. But for prudence, i just assumed it'll be the lower amount for the calculation. But if it's based on average combined income of the past 12 months, this will probably include bonus which will reduce the EHG even further lol. I thought it was just simply based on gross income excluding bonus.

We still have a comfortable amount spare cash even after paying 60k in cash. It will be able to cover the stamp duties and legal fees and still have some spare cash left. There's still our stocks and bonds investments which we are hoping not to touch, but as a last resort, we're willing to liquidate some poorer performing ones.

Edited:
Ya there are much lower price HDB out there. But we're looking at houses built after 2005, and preferably after 2014~. Key consideration is that it must also be within 30mins journey from either of my/my wife's parent place (which naturally means within proximity radius also). So that limits down alot of houses. Tampines has a couple of newer 4room flats, but those are also like 610k~. The recent one we went to see, right opposite TP, the highest offer was already like 640k~. Chai Chee area houses are also >600k for a mid-floor house ):"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Concerned?,https://forums.hardwarezone.com.sg/members/concerned.585986/,Junior Member,"Jan 4, 2022","Hi, I applied for BTO last year in 2020 under the Fiance/Fiancee scheme and went down for unit selection on May 2021. During the unit selection, the HDB officer informed us that we will be eligible for EHG as I have worked for ~9 mths at the point of the appointment.

Just today I received a notification from HDB informing me that our application for EHG is rejected because I did not worked for 12 mths consecutively. May I know in this scenario, will we still be eligible for the Deferred Income Assessment or we will not be eligible for any grants anymore?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,suzyyy,https://forums.hardwarezone.com.sg/members/suzyyy.577347/,Junior Member,"Jan 17, 2022",How long of an employment gap will be a red flag when applying for grant when buying resale flat? Can PT Job for a few days cover the gap?
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,vinz,https://forums.hardwarezone.com.sg/members/vinz.18872/,Master Member,"Jan 18, 2022","HDB loan department only want to see payslip+CPF statement.
or every commission statement if self employed.

To get grant for BTO it's even stricter, 12 months of continuously employment prior to application (better have proof).

Part time job? any proof ? Up them to believe you already. Usually they won't take into consideration all these part time cash job."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,vinz,https://forums.hardwarezone.com.sg/members/vinz.18872/,Master Member,"Jan 18, 2022","Concerned? said:
Hi, I applied for BTO last year in 2020 under the Fiance/Fiancee scheme and went down for unit selection on May 2021. During the unit selection, the HDB officer informed us that we will be eligible for EHG as I have worked for ~9 mths at the point of the appointment.

Just today I received a notification from HDB informing me that our application for EHG is rejected because I did not worked for 12 mths consecutively. May I know in this scenario, will we still be eligible for the Deferred Income Assessment or we will not be eligible for any grants anymore?
Deferred income assessment is for HDB loan eligibility just before you take keys. (which is 3 to 5yrs down the road)

Grant for BTO is always based on 12 month continuous employment prior to application online to get a ballot number for the bto. U already fail at this stage, so there is no more grant for u anymore."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,daadeedum,https://forums.hardwarezone.com.sg/members/daadeedum.127569/,Member,"Jan 22, 2022","hello. have a few questions to ask.

1) may i ask at which stage does the grant application happens? once otp is exercised then it would be the part whereby i need to decide on the allocation of payment in terms of how much by cpf / loan / etc?
2) for single scheme the first step would be to apply for hle first right? and after that need to apply for intent to buy? or intent to buy = otp?

thanks in advance."
